horas_estudio_semana,asistencia_pct,horas_sueno,promedio_anterior,actividades_extra,nivel_estres,nota_final,aprobado
11.861663446573512,59.25664644193098,5.570234102415435,,0,3,15.35440886810983,1
,77.0950473689179,5.4818727944319985,17.56017676629647,1,8,20.0,1
22.227824312530746,93.64729179382041,9.437527483126221,11.005614785509987,1,7,18.432744244204915,1
,86.61124432047805,5.497277199097036,15.498489195283987,0,3,18.73359714886217,1
5.524540572830659,90.32805739307248,5.6316983567717855,14.860951797724985,0,6,17.605537047439775,1
5.523841089749877,82.93916833553587,8.556389574507783,17.993964521459255,0,4,18.71549688274031,1
2.6844247528777845,84.61382822589263,6.69843905470324,,0,5,16.231352803472543,1
26.11910822747312,92.45978257826596,8.660263341731088,8.145881257728641,0,5,17.567109691714208,1
18.432335340553056,62.483400442959294,4.392196945386312,16.088239028705512,1,7,17.962000248842212,1
21.53410475608532,74.47124818215703,6.925427162040306,8.622029589436748,0,5,17.64027693198534,1
1.596950334578271,61.06047209098011,4.201681601099696,14.586303980928271,0,3,12.56788096023604,1
29.127385712697837,99.38340039983234,4.375919220732127,11.451592748524138,0,10,20.0,1
25.14083658321223,97.20296698433066,9.438624720066466,11.681319194265694,1,5,20.0,1
7.157834209670009,51.9713405684253,4.835472226705571,12.23550204142828,0,7,11.114019869888686,1
6.272924049005918,85.27875862578442,7.194524093651303,15.45550938859532,1,5,14.924199497113054,1
6.3187307857495805,96.26241587078329,6.466573615604239,12.00859958802523,0,5,17.458803438983505,1
9.823025045826594,59.02876725636668,6.084059957553056,16.792388607083364,1,9,15.713437152322058,1
16.2179365173349,78.39726152763147,9.399000074123634,12.854328626886437,1,3,17.620813220784694,1
13.526405540621358,95.77441487940209,4.1309403806529374,8.820238403719504,0,6,16.402736897456176,1
,51.69729892928994,7.982738117053534,17.405118109809287,0,1,14.695210321773056,1
18.743733946949003,84.871013362342,9.780366605281301,11.429099895112472,0,10,18.922336121544387,1
5.045321958909213,64.86745036862754,7.361009100771051,13.193202555191151,0,5,15.87064501033344,1
9.472194807521326,96.21980976882652,9.62093477219855,16.225326598662818,1,8,19.935575333344893,1
11.62449345551706,98.55291225826838,4.313547275716143,11.989473885784545,1,5,17.138965133872144,1
14.226029542294041,,6.512759914444969,8.679027873760587,1,9,16.477106843701083,1
23.770102880397395,73.71071083287319,5.560946745772307,12.487052564153764,1,6,18.279401322581148,1
6.790539682592432,93.10213254946567,8.38492578988438,19.333382992331643,0,8,18.779947559777494,1
15.912798713994736,92.22746992675351,9.88778254298348,15.700812767582699,0,10,19.058234538545527,1
18.180022496999232,65.95502366216279,5.539180374665487,16.057749784006482,1,8,19.18484464640308,1
,91.44577370753387,7.925047608844447,15.587385843651678,0,3,12.118375915180959,1
,51.85038173577463,5.18858579655844,10.387905667513241,1,7,15.728593116037391,1
5.945199586931454,,7.391981527429659,,0,7,15.385978047888795,1
2.886496196573106,61.50044186438515,6.783594920130017,17.011277580359817,0,10,15.714617802275834,1
28.517680580346664,56.02834428886394,9.832031977789223,9.216474770637909,1,6,19.159912843076487,1
,53.84766008146046,7.651163636178799,11.334233313076547,0,7,17.59391134324425,1
24.443523095377373,84.81443879390699,6.097038232520912,11.315829301590243,1,2,20.0,1
9.83379930602775,66.9937481884033,,13.184227131134072,1,9,14.671104247280834,1
3.8324913061851325,86.23833857643808,4.907480972409608,19.76442489130622,1,10,14.77789106985543,1
,53.26781703994712,5.351901579707411,8.810030560205863,1,10,15.34186916832616,1
13.764422318448437,65.76451689153052,5.505799968041788,,0,1,15.459163026858397,1
4.539108810498586,76.97456461876686,9.103696347046828,10.152376184146526,1,1,13.120471853280375,1
15.360130393226836,89.53615824194819,7.3673367296951495,19.64811854491693,0,3,20.0,1
1.9972671123413335,65.9376251466035,7.140345468246199,9.35964205672957,0,3,11.273979825152814,1
,81.29456882185045,4.688613231215305,12.843212028339096,1,1,19.951826914821094,1
8.504619466400491,94.29888741180935,9.16083816009661,,0,7,20.0,1
20.213146246265477,80.79315940911523,8.336885819250902,16.45465313632934,0,4,20.0,1
10.039621206592917,61.64797373768169,4.406010171400009,,0,10,12.703038449289057,1
,51.220039077826904,,12.15829001543262,0,2,12.40055504699071,1
16.85459810095511,93.50494369504649,7.261229304055877,12.771348542634447,1,10,18.04940687801688,1
6.360779210240284,51.063470542519354,,11.17131515790367,0,5,12.737559581493073,1
29.117954205172197,93.73508363420997,6.749803849171939,10.463995264481598,1,6,20.0,1
23.478851877472323,76.4468567013606,6.908177722780282,13.79647637070668,1,9,20.0,1
,96.95338492564481,4.9946472409796545,11.222405072811288,1,4,20.0,1
26.949993162401817,89.93916178868326,9.674188882001694,11.449539978767001,0,2,20.0,1
18.339099385521468,99.89670552666686,9.099852228883972,15.881072761694686,1,5,18.821053976464395,1
27.734352815670388,67.53559077258551,8.01413402397465,19.622447980398707,0,3,20.0,1
